train_id,text,C0027497:Übelkeit,C0011991:Diarrhöe,C0015672:Erschöpfung,C0042963:Erbrechen,C0003123:Anorexie,C0018681:Kopfschmerzen,C0015967:Fieber,C0206062:Interstitielle Lungenerkrankung,C0023895:Leberschädigung,C0012833:Drehschwindel,C0030193:Schmerz,C0002170:Alopezie,C0004096:Analgetisches Asthma-Syndrom,C0022658:Nierenerkrankung,C0020517:Hypersensibilität,C0917801:Insomnie,C0009806:Constipation,C0005956:Knochenmarkerkrankung,C0000737:Bauchschmerzen,C0010692:Hämorrhagische Zystitis,C0015230:Ausschlag,C0149745:Stomatitis
4775.0,"<user_name> Wenn es Masern sind, können Antihistaminika helfen. In meinem Fall habe ich steroidale Salben benutzt, um es unter Kontrolle zu halten, aber wenn es nicht weggeht, denke ich, dass du in ein Krankenhaus gehen solltest.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
812.0,"Ich habe Kopfschmerzen von den Kontrastmitteln, ich muss frühstücken, weil ich morgen ins Krankenhaus gehe.",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2922.0,"<user_name> Ich nehme Metformin, also denke ich, dass ich weniger wahrscheinlich Durchfall haben werde, aber Verstopfung ist beängstigend. Passen Sie auf sich auf.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6151.0,"<user_name> Ich litt während meiner Krebsbehandlung mit Cisplatin unter Übelkeit. Bei mir ging der Haarausfall weg, aber er kam wieder, als das Medikament nachließ. (Die Nebenwirkungen verringern auch meinen Appetit.) Jetzt muss ich mich gut ernähren.",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5642.0,"Danke für Ihre Hilfe... Ich war im Krankenhaus! Ihr Fieber ist gesunken, aber sie hat immer noch leichtes Fieber und Husten, also werde ich ihr ein IV-Antibiotikum geben und sie nächste Woche wieder sehen <url>.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9515.0,"<user_name> Schön, Sie kennenzulernen! Ich konnte ein Immunsuppressivum namens Azathioprin nicht nehmen und musste wegen Colitis ulcerosa einen langen Krankenhausaufenthalt und eine Operation über mich ergehen lassen! Es gibt alle möglichen Nebenwirkungen von Steroiden.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8689.0,Azathioprin ist ein Immunsuppressivum bei Colitis ulcerosa. <url>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9070.0,"Anti-alpha-Medikamente Adalimumab (Cimetidin, Vedolizumab): Brustkrebs, Leberzirrhose, Morbus Crohn. Anderer Wirkmechanismus, aber Infliximab in höheren Dosen (40 mg/kg) in Kombination mit Beta-Laktamen.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1018.0,"<user_name> Die Symptome meiner rheumatoiden Arthritis haben sich verbessert, seit ich Methotrexat nehme! Ich hatte einige Tannen, wenn ich es mit Steroiden verwendet, aber jetzt habe ich die Dosis reduziert und es hat sich nach etwa eineinhalb Monaten beruhigt.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2149.0,"[Der Wirkungsmechanismus von Cyclophosphamid ähnelt der Apoptose. Zu den berichteten Nebenwirkungen gehören periphere Neuropathie, allgemeines Unwohlsein, Übelkeit, Kopfschmerzen und neuropsychiatrische Symptome. (Sickness and disease 8p.313) <url>.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
